"","Name","Role","Tier","Score","Trend","Win %","Role %","Pick %","Ban %","KDA","Patch"
"3328","Yasuo","MID","God",87.8,-1.66,50.11,67.72,11.72,25.07,1.73,12.9
"3329","Yasuo","TOP","Fair",44.99,-4.12,49.18,14.88,2.46,25.07,1.47,12.9
"3330","Yasuo","ADC","Fair",43,0.67,53.12,16.33,2.67,25.07,2,12.9
"3331","Yone","MID","Strong",66.11,-0.55,49.78,60.89,7.94,15.13,1.81,12.9
"3332","Yone","TOP","Strong",58.22,-2.22,49.99,35.52,4.34,15.13,1.58,12.9
"3333","Yorick","TOP","Fair",47.06,-6.62,51.6,94.03,2.6,3.51,1.49,12.9
"3334","Yuumi","SUPPORT","God",94.97,1.86,49.81,98.9,12.27,26.51,4.05,12.9
"3335","Zac","JUNGLE","Good",54.47,-4.02,51.77,81.51,3.44,2.79,3.42,12.9
"3336","Zed","MID","God",80.84,-0.19,49.86,71.48,8.42,35.79,2.19,12.9
"3337","Zed","JUNGLE","Fair",42.29,-3.44,48.08,24.57,2.71,35.79,2.45,12.9
"3338","Zeri","ADC","Bad",29.14,0.01,45.68,92.08,3.7,3.66,2.07,12.9
"3339","Ziggs","MID","Fair",40.5,-2.28,49.58,29.65,0.85,0.44,2.3,12.9
"3340","Ziggs","ADC","Weak",34.08,-4.45,49.99,62.05,1.66,0.43,2.33,12.9
"3341","Zilean","MID","Good",53.09,4.02,54.04,18.27,0.61,1.59,3.29,12.9
